Libellé,Classement des communes en zone de revitalisation rurale - ZRR 2018,Classement des communes en loi littoral,Classement des communes en zone de revitalisation des commerces en milieu rural - ZoRCoMiR,Communes des parcs naturels régionaux (PNR),"Communes éligibles au zonage d'aide à finalité régionale (AFR), période 2014-2021",Villes bénéficiaires du programme Action Coeur de Ville (ACV)
La Haye-Bellefond,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
La Haye-d'Ectot,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
La Haye-Pesnel,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
La Lande-d'Airou,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
La Lucerne-d'Outremer,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
La Luzerne,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
La Meauffe,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
La Meurdraquière,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
La Mouche,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
La Pernelle,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
La Trinité,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
La Vendelée,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Lamberville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Lapenty,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Laulne,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Le Dézert,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,T - Intégralement,N/A - hors champ
Le Fresne-Poret,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Grand-Celland,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Le Grippon,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Guislain,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Ham,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,T - Intégralement,N/A - hors champ
Le Loreur,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Lorey,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Luot,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Mesnil,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Mesnil-Adelée,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Mesnil-Amey,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Mesnil-Aubert,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Mesnil-au-Val,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Mesnil-Eury,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Le Mesnil-Garnier,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Mesnil-Gilbert,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Mesnillard,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Le Mesnil-Ozenne,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Mesnil-Rouxelin,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Mesnil-Véneron,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Le Mesnil-Villeman,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Mont-Saint-Michel,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Neufbourg,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Le Parc,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Perron,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Petit-Celland,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Le Plessis-Lastelle,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Le Rozel,NC - Non classée,C - Commune classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Tanu,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Teilleul,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,P - Partiellement,N/A - hors champ
Le Val-Saint-Père,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Vast,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Le Vicel,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Lengronne,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Les Cresnays,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Les Loges-Marchis,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Les Loges-sur-Brécey,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Les Moitiers-d'Allonne,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Les Pieux,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Lessay,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Lestre,NC - Non classée,C - Commune classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
L'Étang-Bertrand,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Liesville-sur-Douve,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Lieusaint,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Lingeard,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Lingreville,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Lolif,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Longueville,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Magneville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Marcey-les-Grèves,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Marchésieux,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Marcilly,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Margueray,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Marigny-Le-Lozon,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Martinvast,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Maupertuis,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Maupertus-sur-Mer,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Méautis,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,T - Intégralement,N/A - hors champ
Millières,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Montabot,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Montaigu-la-Brisette,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Montaigu-les-Bois,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Montbray,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Montcuit,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Montebourg,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Montfarville,NC - Non classée,C - Commune classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Monthuchon,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Montjoie-Saint-Martin,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Montmartin-sur-Mer,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Montpinchon,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Montrabot,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Montreuil-sur-Lozon,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Montsenelle,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Moon-sur-Elle,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Morigny,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Mortain-Bocage,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000026 - PNR Normandie-Maine,P - Partiellement,N/A - hors champ
Morville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Moulines,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Moyon Villages,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,P - Partiellement,N/A - hors champ
Muneville-le-Bingard,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Muneville-sur-Mer,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Nay,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Négreville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Néhou,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Neufmesnil,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Neuville-au-Plain,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,T - Intégralement,N/A - hors champ
Neuville-en-Beaumont,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Nicorps,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Notre-Dame-de-Cenilly,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Notre-Dame-de-Livoye,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Nouainville,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Octeville-l'Avenel,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Orglandes,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Orval sur Sienne,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Ouville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Ozeville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Percy-en-Normandie,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Périers,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,T - Intégralement,N/A - hors champ
Perriers-en-Beauficel,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Picauville,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,P - Partiellement,N/A - hors champ
Pierreville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Pirou,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Poilley,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Pontaubault,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Pont-Hébert,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Pontorson,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Ponts,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Port-Bail-sur-Mer,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Précey,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Quettehou,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Quettreville-sur-Sienne,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Quibou,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Quinéville,NC - Non classée,C - Commune classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Raids,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,T - Intégralement,N/A - hors champ
Rampan,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Rauville-la-Bigot,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Rauville-la-Place,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Reffuveille,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Regnéville-sur-Mer,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Reigneville-Bocage,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Remilly Les Marais,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Réville,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Rocheville,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Romagny Fontenay,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,P - Partiellement,N/A - hors champ
Roncey,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Sacey,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Amand-Villages,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-André-de-Bohon,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Saint-André-de-l'Épine,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Aubin-des-Préaux,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Aubin-de-Terregatte,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Barthélemy,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Brice,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Brice-de-Landelles,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Christophe-du-Foc,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Clair-sur-l'Elle,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Clément-Rancoudray,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Saint-Cyr,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Cyr-du-Bailleul,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000026 - PNR Normandie-Maine,NC - Non éligible,N/A - hors champ
Saint-Denis-le-Gast,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Denis-le-Vêtu,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Sainte-Cécile,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Sainte-Colombe,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Sainte-Geneviève,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Sainte-Marie-du-Mont,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Sainte-Mère-Église,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,P - Partiellement,N/A - hors champ
Sainte-Suzanne-sur-Vire,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Saint-Floxel,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Fromond,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Saint-Georges-de-la-Rivière,NC - Non classée,C - Commune classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Georges-de-Livoye,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Georges-d'Elle,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Georges-de-Rouelley,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000026 - PNR Normandie-Maine,NC - Non éligible,N/A - hors champ
Saint-Georges-Montcocq,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Germain-d'Elle,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Germain-de-Tournebut,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Germain-de-Varreville,C - Classée en ZRR,C - Commune classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Saint-Germain-le-Gaillard,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Germain-sur-Ay,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Saint-Germain-sur-Sèves,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Saint-Gilles,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Hilaire-du-Harcouët,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Jacques-de-Néhou,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-James,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Jean-de-Daye,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,T - Intégralement,N/A - hors champ
Saint-Jean-de-la-Haize,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Jean-de-la-Rivière,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Saint-Jean-d'Elle,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
