Libellé,Classement des communes en zone de revitalisation rurale - ZRR 2018,Classement des communes en loi littoral,Classement des communes en zone de revitalisation des commerces en milieu rural - ZoRCoMiR,Communes des parcs naturels régionaux (PNR),"Communes éligibles au zonage d'aide à finalité régionale (AFR), période 2014-2021",Villes bénéficiaires du programme Action Coeur de Ville (ACV)
Coudeville-sur-Mer,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Coulouvray-Boisbenâtre,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Courcy,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Courtils,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Coutances,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Couvains,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Couville,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Crasville,NC - Non classée,C - Commune classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Créances,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Crollon,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Crosville-sur-Douve,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Cuves,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Dangy,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Digosville,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Domjean,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Donville-les-Bains,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Doville,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Dragey-Ronthon,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Ducey-Les Chéris,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,P - Partiellement,N/A - hors champ
Écausseville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Émondeville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Équilly,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Éroudeville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Étienville,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Fermanville,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Feugères,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Fierville-les-Mines,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Flamanville,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Fleury,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Flottemanville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Folligny,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Fontenay-sur-Mer,NC - Non classée,C - Commune classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Fourneaux,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Fresville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Gathemo,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Gatteville-le-Phare,NC - Non classée,C - Commune classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
