Code ROME,Division NAF,Division NAF avec libellé,Division NAF ROME,Label ROME
K1705,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1705,Sécurité civile et secours
K1706,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1706,Sécurité publique
K1707,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1707,Surveillance municipale
K1801,78,78 - Activités liées à  l'emploi,78 -K1801,Conseil en emploi et insertion socioprofessionnelle
K1801,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1801,Conseil en emploi et insertion socioprofessionnelle
K1801,94,94 - Activités des organisations associatives,94 -K1801,Conseil en emploi et insertion socioprofessionnelle
K1802,71,71 - Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,71 -K1802,Développement local
K1802,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1802,Développement local
K1802,94,94 - Activités des organisations associatives,94 -K1802,Développement local
K1901,69,69 - Activités juridiques et comptables,69 -K1901,Aide et médiation judiciaire
K1901,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1901,Aide et médiation judiciaire
K1902,69,69 - Activités juridiques et comptables,69 -K1902,Collaboration juridique
K1902,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1902,Collaboration juridique
K1903,69,69 - Activités juridiques et comptables,69 -K1903,Défense et conseil juridique
K1903,94,94 - Activités des organisations associatives,94 -K1903,Défense et conseil juridique
K1904,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1904,Magistrature
K2101,78,78 - Activités liées à  l'emploi,78 -K2101,Conseil en formation
K2101,85,85 - Enseignement,85 -K2101,Conseil en formation
K2102,85,85 - Enseignement,85 -K2102,Coordination pédagogique
K2103,85,85 - Enseignement,85 -K2103,Direction d'établissement et d'enseignement
K2104,85,85 - Enseignement,85 -K2104,éducation et surveillance au sein d'établissements d'enseignement
K2105,85,85 - Enseignement,85 -K2105,Enseignement artistique
K2106,85,85 - Enseignement,85 -K2106,Enseignement des écoles
K2107,85,85 - Enseignement,85 -K2107,Enseignement général du second degré
K2107,97,97 - Activités des ménages en tant qu'employeurs de personnel domestique,97 -K2107,Enseignement général du second degré
K2108,85,85 - Enseignement,85 -K2108,Enseignement supérieur
K2109,85,85 - Enseignement,85 -K2109,Enseignement technique et professionnel
K2110,85,85 - Enseignement,85 -K2110,Formation en conduite de véhicules
K2111,85,85 - Enseignement,85 -K2111,Formation professionnelle
K2112,78,78 - Activités liées à  l'emploi,78 -K2112,Orientation scolaire et professionnelle
K2112,85,85 - Enseignement,85 -K2112,Orientation scolaire et professionnelle
K2201,55,55 - Hébergement,55 -K2201,Blanchisserie industrielle
K2201,56,56 - Restauration,56 -K2201,Blanchisserie industrielle
K2201,86,86 - Activités pour la santé humaine,86 -K2201,Blanchisserie industrielle
K2201,96,96 - Autres services personnels,96 -K2201,Blanchisserie industrielle
K2202,52,52 - Entreposage et services auxiliaires des transports,52 -K2202,Lavage de vitres
K2202,81,81 - Services relatifs aux bâtiments et aménagement paysager,81 -K2202,Lavage de vitres
K2203,81,81 - Services relatifs aux bâtiments et aménagement paysager,81 -K2203,Management et inspection en propreté de locaux
K2204,52,52 - Entreposage et services auxiliaires des transports,52 -K2204,Nettoyage de locaux
K2204,81,81 - Services relatifs aux bâtiments et aménagement paysager,81 -K2204,Nettoyage de locaux
K2301,36,"36 - Captage, traitement et distribution d'eau",36 -K2301,Distribution et assainissement d'eau
K2301,37,37 - Collecte et traitement des eaux usées,37 -K2301,Distribution et assainissement d'eau
K2302,38,"38 - Collecte, traitement et élimination des déchets ; récupération",38 -K2302,Management et inspection en environnement urbain
K2302,52,52 - Entreposage et services auxiliaires des transports,52 -K2302,Management et inspection en environnement urbain
K2302,81,81 - Services relatifs aux bâtiments et aménagement paysager,81 -K2302,Management et inspection en environnement urbain
K2303,38,"38 - Collecte, traitement et élimination des déchets ; récupération",38 -K2303,Nettoyage des espaces urbains
K2303,52,52 - Entreposage et services auxiliaires des transports,52 -K2303,Nettoyage des espaces urbains
K2303,81,81 - Services relatifs aux bâtiments et aménagement paysager,81 -K2303,Nettoyage des espaces urbains
K2304,38,"38 - Collecte, traitement et élimination des déchets ; récupération",38 -K2304,Revalorisation de produits industriels
K2304,94,94 - Activités des organisations associatives,94 -K2304,Revalorisation de produits industriels
K2305,38,"38 - Collecte, traitement et élimination des déchets ; récupération",38 -K2305,Salubrité et traitement de nuisibles
K2305,81,81 - Services relatifs aux bâtiments et aménagement paysager,81 -K2305,Salubrité et traitement de nuisibles
K2306,36,"36 - Captage, traitement et distribution d'eau",36 -K2306,Supervision d'exploitation éco-industrielle
K2306,37,37 - Collecte et traitement des eaux usées,37 -K2306,Supervision d'exploitation éco-industrielle
K2306,38,"38 - Collecte, traitement et élimination des déchets ; récupération",38 -K2306,Supervision d'exploitation éco-industrielle
K2401,71,71 - Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,71 -K2401,Recherche en sciences de l'homme et de la société
K2401,72,72 - Recherche-développement scientifique,72 -K2401,Recherche en sciences de l'homme et de la société
K2401,85,85 - Enseignement,85 -K2401,Recherche en sciences de l'homme et de la société
K2401,91,"91 - Bibliothèques, archives, musées et autres activités culturelles",91 -K2401,Recherche en sciences de l'homme et de la société
K2402,71,71 - Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,71 -K2402,"Recherche en sciences de l'univers, de la matière et du vivant"
K2402,72,72 - Recherche-développement scientifique,72 -K2402,"Recherche en sciences de l'univers, de la matière et du vivant"
K2402,85,85 - Enseignement,85 -K2402,"Recherche en sciences de l'univers, de la matière et du vivant"
K2402,91,"91 - Bibliothèques, archives, musées et autres activités culturelles",91 -K2402,"Recherche en sciences de l'univers, de la matière et du vivant"
K2501,68,68 - Activités immobilières,68 -K2501,Gardiennage de locaux
K2501,81,81 - Services relatifs aux bâtiments et aménagement paysager,81 -K2501,Gardiennage de locaux
K2501,85,85 - Enseignement,85 -K2501,Gardiennage de locaux
K2501,91,"91 - Bibliothèques, archives, musées et autres activités culturelles",91 -K2501,Gardiennage de locaux
K2501,93,"93 - Activités sportives, récréatives et de loisirs",93 -K2501,Gardiennage de locaux
K2501,97,97 - Activités des ménages en tant qu'employeurs de personnel domestique,97 -K2501,Gardiennage de locaux
K2502,52,52 - Entreposage et services auxiliaires des transports,52 -K2502,Management de sécurité privée
K2502,80,80 - Enquêtes et sécurité,80 -K2502,Management de sécurité privée
K2502,86,86 - Activités pour la santé humaine,86 -K2502,Management de sécurité privée
K2502,91,"91 - Bibliothèques, archives, musées et autres activités culturelles",91 -K2502,Management de sécurité privée
K2502,92,92 - Organisation de jeux de hasard et d'argent,92 -K2502,Management de sécurité privée
K2502,93,"93 - Activités sportives, récréatives et de loisirs",93 -K2502,Management de sécurité privée
K2503,52,52 - Entreposage et services auxiliaires des transports,52 -K2503,Sécurité et surveillance privées
K2503,80,80 - Enquêtes et sécurité,80 -K2503,Sécurité et surveillance privées
K2503,86,86 - Activités pour la santé humaine,86 -K2503,Sécurité et surveillance privées
K2503,91,"91 - Bibliothèques, archives, musées et autres activités culturelles",91 -K2503,Sécurité et surveillance privées
K2503,92,92 - Organisation de jeux de hasard et d'argent,92 -K2503,Sécurité et surveillance privées
K2503,93,"93 - Activités sportives, récréatives et de loisirs",93 -K2503,Sécurité et surveillance privées
K2503,97,97 - Activités des ménages en tant qu'employeurs de personnel domestique,97 -K2503,Sécurité et surveillance privées
K2601,96,96 - Autres services personnels,96 -K2601,Conduite d'opérations funéraires
K2602,96,96 - Autres services personnels,96 -K2602,Conseil en services funéraires
K2603,96,96 - Autres services personnels,96 -K2603,Thanatopraxie
L1101,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1101,Animation musicale et scénique
L1101,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1101,Animation musicale et scénique
L1102,14,14 - Industrie de l'habillement,14 -L1102,Mannequinat et pose artistique
L1102,73,73 - Publicité et études de marché,73 -L1102,Mannequinat et pose artistique
L1102,74,"74 - Autres activités spécialisées, scientifiques et techniques",74 -L1102,Mannequinat et pose artistique
L1102,78,78 - Activités liées à  l'emploi,78 -L1102,Mannequinat et pose artistique
L1102,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1102,Mannequinat et pose artistique
L1103,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1103,Présentation de spectacles ou d'émissions
L1103,60,60 - Programmation et diffusion,60 -L1103,Présentation de spectacles ou d'émissions
L1103,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1103,Présentation de spectacles ou d'émissions
